Field,lower.taxon,upper.taxon,guild1,guild2,interaction_type,weight
550,pl6,po82,plant,pollinator,pollination,3
551,Lepi_1,Hym1,herbivore,parasitoid,parasitoidism,3
551,Lepi_15,Diptera,herbivore,parasitoid,parasitoidism,1
551,pl1,Lepi_1,plant,herbivore,herbivory,5
551,pl1,Lepi_15,plant,herbivore,herbivory,14
551,pl1,Lepi_22,plant,herbivore,herbivory,1
551,pl1,po48,plant,pollinator,pollination,4
551,pl11,po18,plant,pollinator,pollination,2
551,pl11,po34,plant,pollinator,pollination,3
551,pl11,po37,plant,pollinator,pollination,2
551,pl11,po47,plant,pollinator,pollination,1
551,pl14,Lepi_15,plant,herbivore,herbivory,10
551,pl14,Lepi_16,plant,herbivore,herbivory,42
551,pl14,Lepi_18,plant,herbivore,herbivory,6
551,pl15,po25,plant,pollinator,pollination,1
551,pl15,po34,plant,pollinator,pollination,1
551,pl18,po47,plant,pollinator,pollination,1
551,pl18,po7,plant,pollinator,pollination,2
551,pl18,po82,plant,pollinator,pollination,1
551,pl2,Lepi_18,plant,herbivore,herbivory,1
551,pl2,Lepi_19,plant,herbivore,herbivory,2
551,pl2,Lepi_22,plant,herbivore,herbivory,1
551,pl2,Lepi_23,plant,herbivore,herbivory,1
551,pl26,po45,plant,pollinator,pollination,1
551,pl35,Lepi_4,plant,herbivore,herbivory,1
551,pl4,Lepi_9,plant,herbivore,herbivory,3
551,pl5,Lepi_15,plant,herbivore,herbivory,5
551,pl5,po156,plant,pollinator,pollination,1
551,pl5,po34,plant,pollinator,pollination,1
551,pl5,po45,plant,pollinator,pollination,4
551,pl5,po53,plant,pollinator,pollination,1
551,pl5,po94,plant,pollinator,pollination,1
551,pl6,po18,plant,pollinator,pollination,4
551,pl6,po34,plant,pollinator,pollination,3
551,pl6,po47,plant,pollinator,pollination,1
551,pl6,po58,plant,pollinator,pollination,1
551,pl6,po76,plant,pollinator,pollination,1
551,pl6,po78,plant,pollinator,pollination,1
551,pl6,po79,plant,pollinator,pollination,1
551,pl6,po80,plant,pollinator,pollination,1
551,pl6,po81,plant,pollinator,pollination,1
552,Lepi_1,Diptera,herbivore,parasitoid,parasitoidism,1
552,Lepi_1,Hym1,herbivore,parasitoid,parasitoidism,4
552,pl1,Lepi_1,plant,herbivore,herbivory,22
552,pl1,Lepi_7,plant,herbivore,herbivory,1
552,pl1,po18,plant,pollinator,pollination,1
552,pl1,po2,plant,pollinator,pollination,2
552,pl1,po34,plant,pollinator,pollination,1
552,pl1,po48,plant,pollinator,pollination,1
552,pl1,po58,plant,pollinator,pollination,1
552,pl11,Lepi_10,plant,herbivore,herbivory,3
552,pl13,po34,plant,pollinator,pollination,10
552,pl13,po44,plant,pollinator,pollination,1
552,pl13,po78,plant,pollinator,pollination,20
552,pl13,po82,plant,pollinator,pollination,7
552,pl5,Lepi_17,plant,herbivore,herbivory,1
552,pl5,Lepi_21,plant,herbivore,herbivory,1
552,pl5,Lepi_8,plant,herbivore,herbivory,3
552,pl5,po13,plant,pollinator,pollination,1
552,pl5,po149,plant,pollinator,pollination,2
552,pl5,po18,plant,pollinator,pollination,1
552,pl5,po2,plant,pollinator,pollination,3
552,pl5,po27,plant,pollinator,pollination,4
552,pl5,po34,plant,pollinator,pollination,1
552,pl5,po81,plant,pollinator,pollination,1
552,pl5,po82,plant,pollinator,pollination,1
552,pl6,po19,plant,pollinator,pollination,1
552,pl6,po2,plant,pollinator,pollination,2
